id,description_nl,normalized_description,label,attack_type,attack_family,severity,rule,rule_valid_by_parser,rule_validation_errors,option_coverage,source_name,source_url,source_usage,generation_method,log_example
SNORT-RAG-0001,Formal analyst request: Détecter un balayage de ports TCP vers un serveur interne. Target: internal DNS resolver. Include a Snort rule with low false positives.,formal analyst request: détecter un balayage de ports tcp vers un serveur interne. target: internal dns resolver. include a snort rule with low false positives.,malicious,port_scan,attempted-recon,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""LOCAL PORT SCAN detected""; flags:S; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:9787615; rev:1;)",True,,0.6666666666666666,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,"SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s"
SNORT-RAG-0002,"SOC alert description: Detect a TCP SYN port scan against an internal web server. Observed log: SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s","soc alert description: detect a tcp syn port scan against an internal web server. observed log: src=203.0.113.10 dst=10.0.0.20 proto=tcp flags=s ports=21,22,80,443,445 count=34 window=60s",malicious,port_scan,attempted-recon,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""LOCAL PORT SCAN detected""; flags:S; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:9700061; rev:2;)",True,,0.6666666666666666,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,"SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s"
SNORT-RAG-0003,"Formal analyst request: Détecter un balayage de ports TCP vers un serveur interne. Keywords: syn scan, reconnaissance. Need a valid alert rule.","formal analyst request: détecter un balayage de ports tcp vers un serveur interne. keywords: syn scan, reconnaissance. need a valid alert rule.",malicious,port_scan,attempted-recon,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""LOCAL PORT SCAN detected""; flags:S; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:9505264; rev:3;)",True,,0.6666666666666666,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,"SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s"
SNORT-RAG-0004,"Formal analyst request: Detect a TCP SYN port scan against an internal web server. The rule must use msg, sid, rev and classtype.","formal analyst request: detect a tcp syn port scan against an internal web server. the rule must use msg, sid, rev and classtype.",malicious,port_scan,attempted-recon,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""LOCAL PORT SCAN detected""; flags:S; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:9635336; rev:1;)",True,,0.6666666666666666,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,"SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s"
SNORT-RAG-0005,FR: Détecter un balayage de ports TCP vers un serveur interne. Target: public web server. Include a Snort rule with low false positives.,fr: détecter un balayage de ports tcp vers un serveur interne. target: public web server. include a snort rule with low false positives.,malicious,port_scan,attempted-recon,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""LOCAL PORT SCAN detected""; flags:S; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:9052063; rev:2;)",True,,0.6666666666666666,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,"SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s"
SNORT-RAG-0006,"Student scenario: A host sends many SYN packets to several ports on $HOME_NET. Observed log: SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s","student scenario: a host sends many syn packets to several ports on $home_net. observed log: src=203.0.113.10 dst=10.0.0.20 proto=tcp flags=s ports=21,22,80,443,445 count=34 window=60s",malicious,port_scan,attempted-recon,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""LOCAL PORT SCAN detected""; flags:S; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:9623537; rev:3;)",True,,0.6666666666666666,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,"SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s"
SNORT-RAG-0007,"Technical note: Detect a TCP SYN port scan against an internal web server. Keywords: reconnaissance, ports. Need a valid alert rule.","technical note: detect a tcp syn port scan against an internal web server. keywords: reconnaissance, ports. need a valid alert rule.",malicious,port_scan,attempted-recon,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""LOCAL PORT SCAN detected""; flags:S; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:9818399; rev:1;)",True,,0.6666666666666666,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,"SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s"
SNORT-RAG-0008,"SOC alert description: A host sends many SYN packets to several ports on $HOME_NET. The rule must use msg, sid, rev and classtype.","soc alert description: a host sends many syn packets to several ports on $home_net. the rule must use msg, sid, rev and classtype.",malicious,port_scan,attempted-recon,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""LOCAL PORT SCAN detected""; flags:S; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:9430372; rev:2;)",True,,0.6666666666666666,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,"SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s"
SNORT-RAG-0009,Formal analyst request: Detect a TCP SYN port scan against an internal web server. Target: SMB file server. Include a Snort rule with low false positives.,formal analyst request: detect a tcp syn port scan against an internal web server. target: smb file server. include a snort rule with low false positives.,malicious,port_scan,attempted-recon,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""LOCAL PORT SCAN detected""; flags:S; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:9877531; rev:3;)",True,,0.6666666666666666,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,"SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s"
SNORT-RAG-0010,"Formal analyst request: Détecter un balayage de ports TCP vers un serveur interne. Observed log: SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s","formal analyst request: détecter un balayage de ports tcp vers un serveur interne. observed log: src=203.0.113.10 dst=10.0.0.20 proto=tcp flags=s ports=21,22,80,443,445 count=34 window=60s",malicious,port_scan,attempted-recon,medium,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""LOCAL PORT SCAN detected""; flags:S; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:9570206; rev:1;)",True,,0.6666666666666666,Snort 3 Rule Writing Guide - Cisco Talos,https://docs.snort.org/,"student-generated scenario based on legitimate Snort syntax/source category, not copied bulk public dataset",manual_seed_plus_template_variation,"SRC=203.0.113.10 DST=10.0.0.20 PROTO=TCP FLAGS=S PORTS=21,22,80,443,445 COUNT=34 WINDOW=60s"
