query,expected_attack_type,method,backend,k,rank,doc_id,retrieved_attack_type,is_relevant,status,sentence_bert_model,faiss_enabled,description_naturelle,log_example,snort_rule_reference
Detect a TCP SYN port scan against our web server with many ports touched in one minute,port_scan,bm25,bm25,1,1,SNORT-P1-0014,port_scan,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,"Detect a SYN port scan from one external host against ports 1521,2483,3306,5432 on an internal server SYN scan","1716800013.12 C013 198.51.100.23 40143 10.0.1.33 80 tcp S0 scan_ports=ports 1521,2483,3306,5432 msg=sequential SYN scan","alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""P1 Port scan repeated SYN 14""; flags:S; detection_filter:track by_src,count 11,seconds 7; classtype:attempted-recon; sid:9100014; rev:1;)"
Generate a Snort rule for repeated SSH brute force attempts on port 22,ssh_bruteforce,bm25,bm25,1,1,SNORT-P1-0034,ssh_bruteforce,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect repeated SSH login failures against account svc-ci on port 22 failed password,2026-05-25T09:13:14Z IDS ssh_auth_failure src=203.0.113.33 dst=10.10.0.43 proto=TCP dpt=22 user=svc-ci attempts=8 event=authentication failure,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""P1 SSH brute force repeated login failures 14""; flow:to_server,established; content:""SSH-""; detection_filter:track by_src,count 7,seconds 60; classtype:attempted-admin; sid:9100034; rev:1;)"
Détecter une injection SQL UNION SELECT dans une URL HTTP,sql_injection,bm25,bm25,1,1,SNORT-P1-0056,sql_injection,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Triage memo: an SQL injection attempt in a web request carrying payload union select null; analyst highlighted union select null for retrieval and explanation.,"2026/05/25 10:15:02 [warn] waf: client=192.0.2.55 host=shop.local uri=""/search?q=union select null"" msg=""SQL keyword detected"" status=403 proto=HTTP","alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 SQL injection payload 16""; flow:to_server,established; content:""union select null""; nocase; classtype:web-application-attack; sid:9100056; rev:1;)"
Detect XSS attack where the URI contains <script>alert(1)</script>,xss,bm25,bm25,1,1,SNORT-P1-0061,xss,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Détection xss: a reflected XSS probe containing <script>alert(1)</script> in a web parameter. Mot clé observé: <script>alert(1)</script>.,"203.0.113.60 - - [25/May/2026:11:00:22 +0000] ""GET /comment?text=<script>alert(1)</script> HTTP/1.1"" 200 421 ""https://forum.local/thread/7"" ""Mozilla/5.0""","alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 XSS payload marker 1""; flow:to_server,established; content:""<script>alert(1)</script""; nocase; pcre:""/\<script\>alert(1)\<\/script\>/i""; classtype:web-application-attack; sid:9100061; rev:1;)"
Detect command injection with cmd parameter and whoami in HTTP request,command_injection,bm25,bm25,1,1,SNORT-P1-0087,command_injection,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Incident detail: a command injection attempt using payload && bash -c whoami in a web-exposed parameter. Multiple traces suggest the token && bash -c whoami and repeated network activity in the logs.,"2026-05-25T12:06:55Z waf alert src=198.51.100.86 dst=10.30.0.16 uri=""/cgi-bin/admin?cmd=&& bash -c whoami"" action=blocked signature=command_injection proto=HTTP","alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 Command injection payload 7""; flow:to_server,established; content:""&& bash -c whoami""; nocase; classtype:web-application-attack; sid:9100087; rev:1;)"
Alert when someone tries ../../../../etc/passwd directory traversal,directory_traversal,bm25,bm25,1,1,SNORT-P1-0101,directory_traversal,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Détection directory traversal: a directory traversal request referencing ../../../../etc/passwd. Mot clé observé: ../../../../etc/passwd.,"203.0.113.100 - - [25/May/2026:13:00:40 +0000] ""GET ../../../../etc/passwd HTTP/1.1"" 404 210 ""-"" ""Mozilla/5.0""","alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 Directory traversal attempt 1""; flow:to_server,established; content:""../""; nocase; pcre:""/(\.\.|%2f|win\.ini|passwd)/i""; classtype:web-application-attack; sid:9100101; rev:1;)"
Detect DNS tunneling using long encoded subdomains,dns_tunneling,bm25,bm25,1,1,SNORT-P1-0126,dns_tunneling,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect DNS tunneling behavior with long subdomain query db-archive-zip-05.segment2.data.exfil.example.com long subdomain,"2026-05-25T14:05:18Z zeek_dns uid=DNS005 id.orig_h=10.40.2.25 id.resp_h=8.8.4.4 proto=DNS query=""db-archive-zip-05.segment2.data.exfil.example.com"" qtype_name=TXT len=83 warning=""dns tunneling suspicion""","alert dns $HOME_NET any -> $EXTERNAL_NET 53 (msg:""P1 DNS tunneling long query 6""; content:""segment""; nocase; dsize:>70; classtype:trojan-activity; sid:9100126; rev:1;)"
Detect ICMP ping sweep against internal network,icmp_sweep,bm25,bm25,1,1,SNORT-P1-0094,command_injection,False,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect a command injection attempt using payload ; ping -c 1 198.51.100.8 in a web-exposed parameter ; ping -c 1 198.51.100.8,"198.51.100.93 - - [25/May/2026:12:13:55 +0000] ""POST /tools/run HTTP/1.1"" 500 921 ""-"" ""curl/8.0"" body=""name=test; ping -c 1 198.51.100.8""","alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""P1 Command injection payload 14""; flow:to_server,established; content:""; ping -c 1 198.51.100.8""; nocase; classtype:web-application-attack; sid:9100094; rev:1;)"
Detect malware command and control beacon to /gate.php,malware_c2,bm25,bm25,1,1,SNORT-P1-0162,malware_c2,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Je veux repérer periodic malware C2 beaconing to /gate.php over port 80 avec l'indice periodic beacon.,"10.50.0.11 - - [25/May/2026:16:01:31 +0000] ""POST /gate.php HTTP/1.1"" 200 64 ""-"" ""svc-update/1.0"" comment=""c2 heartbeat""","alert tcp $HOME_NET any -> $EXTERNAL_NET 80 (msg:""P1 Malware C2 beacon 2""; flow:to_server,established; content:""/gate.php""; nocase; detection_filter:track by_src,count 4,seconds 300; classtype:trojan-activity; sid:9100162; rev:1;)"
"Normal HTTP health check from the monitoring server, no attack",benign_traffic,bm25,bm25,1,1,SNORT-P1-0182,benign_traffic,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Je veux repérer ci/cd health check calling /readyz every 30 seconds from the build agent avec l'indice normal activity.,2026-05-25T17:01:11Z access src=10.60.0.11 dst=10.70.0.21 proto=HTTPS dpt=443 note=CI/CD health check calling /readyz every 30 seconds from the build agent status=200 category=benign,NO_RULE_RECOMMENDED
