query,attack_type,generated_rule,false_positive_risk,false_positive_score,risk_factors,improvement_suggestions
Generate a Snort rule for repeated SSH brute force attempts on port 22,ssh_bruteforce,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""P1 SSH brute force repeated login failures 3""; flow:to_server,established; content:""SSH-""; detection_filter:track by_src,count 8,seconds 60; classtype:attempted-admin; sid:9100023; rev:1;)",none,0.0,[],[]
Detect SQL injection with UNION SELECT in HTTP URI,sql_injection,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 SQL injection payload 16""; flow:to_server,established; content:""union select null""; nocase; classtype:web-application-attack; sid:9100056; rev:1;)",none,0.0,[],[]
Detect XSS attack where the URI contains <script>alert(1)</script>,xss,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 XSS payload marker 1""; flow:to_server,established; content:""<script>alert(1)</script""; nocase; pcre:""/\<script\>alert(1)\<\/script\>/i""; classtype:web-application-attack; sid:9100061; rev:1;)",none,0.0,[],[]
Detect a TCP SYN port scan against our web server,port_scan,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""P1 Port scan repeated SYN 6""; flags:S; detection_filter:track by_src,count 11,seconds 8; classtype:attempted-recon; sid:9100006; rev:1;)",none,0.0,"[""rule is missing content or pcre matching logic""]","[""add a content or pcre match tied to the malicious payload""]"
Detect DNS tunneling using long encoded subdomains,dns_tunneling,"alert udp $HOME_NET any -> $EXTERNAL_NET 53 (msg:""P1 DNS tunneling long query 14""; content:""segment""; nocase; dsize:>70; classtype:trojan-activity; sid:9100134; rev:1;)",none,0.0,[],[]
Detect ICMP ping sweep against internal network,icmp_sweep,"alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:""P1 ICMP sweep repeated echo requests 17""; dsize:>40; detection_filter:track by_src,count 6,seconds 5; classtype:attempted-recon; sid:9100157; rev:1;)",none,0.0,[],"[""add a content or pcre match tied to the malicious payload""]"
Alert when someone tries ../../../../etc/passwd directory traversal,directory_traversal,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 Directory traversal attempt 1""; flow:to_server,established; content:""../""; nocase; pcre:""/(\.\.|%2f|win\.ini|passwd)/i""; classtype:web-application-attack; sid:9100101; rev:1;)",none,0.0,[],[]
Detect command injection with cmd parameter and whoami in HTTP request,command_injection,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 Command injection payload 7""; flow:to_server,established; content:""&& bash -c whoami""; nocase; classtype:web-application-attack; sid:9100087; rev:1;)",none,0.0,[],[]
Detect malware command and control beacon to /gate.php,malware_c2,"alert tcp $HOME_NET any -> $EXTERNAL_NET 80 (msg:""P1 Malware C2 beacon 2""; flow:to_server,established; content:""/gate.php""; nocase; detection_filter:track by_src,count 4,seconds 300; classtype:trojan-activity; sid:9100162; rev:1;)",none,0.0,[],[]
A user connects normally to the company website using HTTPS,ftp_bruteforce,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""LOCAL FTP BRUTEFORCE detected""; flow:to_server,established; content:""USER ""; nocase; detection_filter:track by_src, count 6, seconds 60; classtype:attempted-admin; sid:9085512; rev:1;)",low,0.1,"[""retrieved context does not strongly match the chosen attack type""]","[""review retrieved examples or refine the query before exporting the rule""]"
